Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1980-12-12,0.09829749912023544,0.09872485583343898,0.09829749912023544,0.09829749912023544,469033600
1980-12-15,0.09316928684711456,0.09359664369032072,0.09316928684711456,0.09359664369032072,175884800
1980-12-16,0.0863308385014534,0.0867581895401009,0.0863308385014534,0.0867581895401009,105728000
1980-12-17,0.08846757560968399,0.08889493221199467,0.08846757560968399,0.08846757560968399,86441600
1980-12-18,0.0910324975848198,0.09145984861781792,0.0910324975848198,0.0910324975848198,73449600
1980-12-19,0.09658806771039963,0.09701542435294641,0.09658806771039963,0.09658806771039963,48630400
1980-12-22,0.10128896683454514,0.10171708809689849,0.10128896683454514,0.10128896683454514,37363200
1980-12-23,0.10556328296661377,0.10599063968283934,0.10556328296661377,0.10556328296661377,46950400
1980-12-24,0.11111892759799957,0.1115462844740524,0.11111892759799959,0.11111892759799959,48003200
1980-12-26,0.12137618660926819,0.12180354347769792,0.12137618660926819,0.12137618660926819,55574400
1980-12-29,0.12308559566736221,0.12351295251147623,0.12308559566736221,0.12308559566736221,93161600
1980-12-30,0.12009412050247192,0.12052146593398683,0.12009412050247192,0.12052146593398683,68880000
1980-12-31,0.11667519062757492,0.11710254711263564,0.11667519062757492,0.11710254711263564,35750400
1981-01-02,0.11795732378959656,0.11881203730402796,0.11795732378959656,0.11795732378959656,21660800
1981-01-05,0.11539319157600403,0.1158205368672299,0.11539319157600404,0.1158205368672299,35728000
1981-01-06,0.1102641150355339,0.11069147152862216,0.11026411503553392,0.11069147152862216,45158400
1981-01-07,0.10556328296661377,0.10599063968283934,0.10556328296661377,0.10599063968283934,55686400
1981-01-08,0.1034265011548996,0.10385384637181924,0.1034265011548996,0.10385384637181924,39827200
1981-01-09,0.1089821308851242,0.10940948766806494,0.1089821308851242,0.1089821308851242,21504000
1981-01-12,0.1081274151802063,0.10898211722665974,0.1081274151802063,0.10898211722665974,23699200
1981-01-13,0.1042812317609787,0.10470858850806611,0.1042812317609787,0.10470858850806611,23049600
1981-01-14,0.10470858216285706,0.10513593888404718,0.10470858216285706,0.10470858216285706,14291200
1981-01-15,0.10684533417224884,0.10770003604085794,0.10684533417224884,0.10684533417224884,14067200
1981-01-16,0.10599067062139511,0.10641802746236566,0.10599067062139511,0.10641802746236566,13395200
1981-01-19,0.11240092664957047,0.11282828329687426,0.11240092664957047,0.11240092664957047,41574400
1981-01-20,0.1089821308851242,0.10940948766806494,0.1089821308851242,0.10940948766806494,30083200
1981-01-21,0.11111892759799957,0.11197362993779246,0.11111892759799959,0.11111892759799959,15904000
1981-01-22,0.11240092664957047,0.11325563994417805,0.11240092664957047,0.11240092664957047,35548800
1981-01-23,0.11197353154420853,0.11282824454525922,0.11197353154420854,0.11240088804473387,11222400
1981-01-26,0.1102641150355339,0.11069147152862216,0.11026411503553392,0.11069147152862216,24640000
1981-01-27,0.10940942913293839,0.1102641308292357,0.10940942913293839,0.1102641308292357,23699200
1981-01-28,0.10599067062139511,0.10641802746236566,0.10599067062139511,0.10641802746236566,28156800
1981-01-29,0.10214446485042572,0.1025718216201585,0.10214446485042572,0.1025718216201585,43904000
1981-01-30,0.09658806771039963,0.0974427809954932,0.09658806771039963,0.0974427809954932,46188800
1981-02-02,0.0910324975848198,0.09145984861781792,0.0910324975848198,0.09145984861781792,23766400
1981-02-03,0.09445134550333023,0.09487869661247633,0.09445134550333023,0.09445134550333023,19152000
1981-02-04,0.09787017107009888,0.0982975164463186,0.09787017107009888,0.09787017107009888,27865600
1981-02-05,0.09787017107009888,0.09872487323484876,0.09787017107009888,0.09787017107009888,7929600
1981-02-06,0.09829749912023544,0.09872485583343898,0.09829749912023544,0.09829749912023544,13865600
1981-02-09,0.09316928684711456,0.09402399482737092,0.09316928684711456,0.09402399482737092,16755200
1981-02-10,0.09316928684711456,0.09359664369032072,0.09316928684711456,0.09316928684711456,18345600
1981-02-11,0.0901777520775795,0.09060510293175167,0.0901777520775795,0.09060510293175167,13843200
1981-02-12,0.0893222764134407,0.08975039760812903,0.0893222764134407,0.08975039760812903,14560000
1981-02-13,0.08718553930521011,0.08804024702023557,0.08718553930521011,0.08804024702023557,11155200
1981-02-17,0.0893222764134407,0.08975039760812903,0.0893222764134407,0.0893222764134407,12275200
1981-02-18,0.09316928684711456,0.09402399482737092,0.09316928684711456,0.09316928684711456,19241600
1981-02-19,0.08761290460824966,0.08804026138858498,0.08761290460824966,0.08804026138858498,22310400
1981-02-20,0.08291200548410416,0.08333936221919781,0.08291200548410416,0.08333936221919781,24371200
1981-02-23,0.08419408649206161,0.08462144333991528,0.08419408649206161,0.08419408649206161,14112000
1981-02-24,0.08120255917310715,0.08205726661313047,0.08120255917310715,0.08205726661313047,16979200
1981-02-25,0.0863308385014534,0.0867581895401009,0.0863308385014534,0.0863308385014534,19488000
1981-02-26,0.08761290460824966,0.08804026138858498,0.08761290460824966,0.08761290460824966,10841600
1981-02-27,0.09060513228178024,0.09145983997314512,0.09060513228178024,0.09060513228178024,14761600
1981-03-02,0.0910324975848198,0.09145984861781792,0.0910324975848198,0.0910324975848198,11760000
1981-03-03,0.08975043892860413,0.09017779569563647,0.08975043892860413,0.09017779569563647,16172800
1981-03-04,0.08889493346214294,0.08932228436431082,0.08889493346214294,0.08932228436431082,13708800
1981-03-05,0.08846757560968399,0.08889493221199467,0.08846757560968399,0.08889493221199467,5376000
1981-03-06,0.08761290460824966,0.08846761246276517,0.08761290460824966,0.08846761246276517,11603200
1981-03-09,0.08077523112297058,0.08120258211062108,0.08077523112297058,0.08120258211062108,15321600
1981-03-10,0.0769282728433609,0.07735562379637281,0.0769282728433609,0.07735562379637281,28380800
1981-03-11,0.07393678277730942,0.07479149026729368,0.07393678277730942,0.07479149026729368,29859200
1981-03-12,0.0769282728433609,0.07735562379637281,0.0769282728433609,0.0769282728433609,59248000
1981-03-13,0.07607361674308777,0.07650096798547303,0.07607361674308777,0.07650096798547303,231302400
1981-03-16,0.07906582206487656,0.07992052981448702,0.07906582206487656,0.07906582206487656,37228800
1981-03-17,0.08291200548410416,0.08376671324813698,0.08291200548410416,0.08291200548410416,43747200
1981-03-18,0.08804022520780563,0.08889493271107281,0.08804022520780563,0.08804022520780563,36937600
1981-03-19,0.08718553930521011,0.08761289030964575,0.08718553930521011,0.08761289030964575,37811200
1981-03-20,0.08804022520780563,0.08889493271107281,0.08804022520780563,0.08804022520780563,14604800
1981-03-23,0.09145985543727875,0.09231456327315857,0.09145985543727875,0.09145985543727875,22019200
1981-03-24,0.0910324975848198,0.09145984861781792,0.0910324975848198,0.09145984861781792,28156800
1981-03-25,0.0893222764134407,0.0901777541784093,0.0893222764134407,0.0901777541784093,7056000
1981-03-26,0.08761290460824966,0.08804026138858498,0.08761290460824966,0.08804026138858498,12275200
1981-03-27,0.08462140709161758,0.08504875805025584,0.08462140709161758,0.08504875805025584,12252800
1981-03-30,0.08462140709161758,0.08547611471504767,0.08462140709161758,0.08462140709161758,9900800
1981-03-31,0.08376669883728027,0.08462140645427293,0.08376669883728027,0.08462140645427293,15993600
1981-04-01,0.08291200548410416,0.08333936221919781,0.08291200548410416,0.08333936221919781,34070400
1981-04-02,0.0901777520775795,0.09060510293175167,0.0901777520775795,0.0901777520775795,31404800
1981-04-03,0.09060513228178024,0.0910324889805397,0.09060513228178024,0.09060513228178024,16486400
1981-04-06,0.08889493346214294,0.08932228436431082,0.08889493346214294,0.08932228436431082,22803200
1981-04-07,0.08804022520780563,0.08846757610636284,0.08804022520780563,0.08846757610636284,10684800
1981-04-08,0.09231454879045486,0.09316925649224446,0.09231454879045486,0.09231454879045486,21952000
1981-04-09,0.09402395039796829,0.0944513070392344,0.09402395039796829,0.09402395039796829,12499200
1981-04-10,0.09530602395534515,0.09573337493233726,0.09530602395534515,0.09530602395534515,33465600
1981-04-13,0.09530602395534515,0.09573337493233726,0.09530602395534515,0.09530602395534515,16060800
1981-04-14,0.09530602395534515,0.09573337493233726,0.09530602395534515,0.09530602395534515,6652800
1981-04-15,0.09060513228178024,0.0910324889805397,0.09060513228178024,0.0910324889805397,34048000
1981-04-16,0.0854761004447937,0.08590345133208563,0.0854761004447937,0.08590345133208563,23878400
1981-04-20,0.08804022520780563,0.08846757610636284,0.08804022520780563,0.08804022520780563,35347200
1981-04-21,0.09402395039796829,0.0944513070392344,0.09402395039796829,0.09402395039796829,28537600
1981-04-22,0.09744282811880112,0.09787018496801748,0.09744282811880112,0.09744282811880112,18995200
1981-04-23,0.10000690072774887,0.10043425738184028,0.10000690072774887,0.10000690072774887,58016000
1981-04-24,0.09915219247341156,0.10000689431447696,0.09915219247341157,0.10000689431447696,35056000
1981-04-27,0.09829749912023544,0.09872485583343898,0.09829749912023544,0.09872485583343898,38528000
1981-04-28,0.09658806771039963,0.09701542435294641,0.09658806771039963,0.09701542435294641,32188800
1981-04-29,0.09530602395534515,0.09573337493233726,0.09530602395534515,0.09573337493233726,13641600
1981-04-30,0.09701546281576157,0.09787017643971548,0.09701546281576158,0.09701546281576158,12611200
1981-05-01,0.09701546281576157,0.09787017643971548,0.09701546281576158,0.09701546281576158,16553600
1981-05-04,0.09658806771039963,0.09701542435294641,0.09658806771039963,0.09701542435294641,14448000
1981-05-05,0.09616076201200485,0.0965881074179275,0.09616076201200485,0.0965881074179275,17539200
1981-05-06,0.09359659999608994,0.0940239509336375,0.09359659999608994,0.0940239509336375,18950400
1981-05-07,0.09487868845462799,0.09530604523318473,0.09487868845462799,0.09487868845462799,9363200
